Date,Buy,Sell,Stocks Bought,Sell Price,Return%
2016-08-22 00:00:00,507.7250061035156,nan,194.0,nan,nan
2016-12-14 00:00:00,nan,499.875,nan,96005.9925,-3.9940075000000066
2017-01-25 00:00:00,468.2999877929688,nan,202.0,nan,nan
2017-02-16 00:00:00,nan,506.0499877929688,nan,101199.8765588379,1.199876558837903
2017-04-28 00:00:00,459.4750061035156,nan,218.0,nan,nan
2017-05-22 00:00:00,nan,480.7250061035156,nan,103750.07081726074,3.750070817260741
2017-06-19 00:00:00,464.9249877929688,nan,220.0,nan,nan
2017-07-18 00:00:00,nan,492.7999877929688,nan,107331.83734130861,7.331837341308608
2017-08-22 00:00:00,437.7000122070313,nan,242.0,nan,nan
2017-10-16 00:00:00,nan,469.5,nan,112482.81,12.482809999999999
2018-02-15 00:00:00,557.2249755859375,nan,199.0,nan,nan
2018-06-08 00:00:00,nan,630.0250244140625,nan,124121.23005981445,24.12123005981445
2018-10-24 00:00:00,649.7999877929688,nan,189.0,nan,nan
2018-12-14 00:00:00,nan,706.0499877929688,nan,132109.0132159424,32.1090132159424
2019-01-04 00:00:00,661.0499877929688,nan,197.0,nan,nan
2019-02-01 00:00:00,nan,757.0499877929688,nan,147647.4591192627,47.6474591192627
2019-03-18 00:00:00,710.2000122070312,nan,205.0,nan,nan
2019-04-03 00:00:00,nan,753.2999877929688,nan,152882.232522583,52.88223252258302
2019-05-21 00:00:00,709.2999877929688,nan,213.0,nan,nan
2019-06-13 00:00:00,nan,742.6500244140625,nan,156602.61064819337,56.60261064819336
2019-07-11 00:00:00,721.5,nan,214.0,nan,nan
2019-07-19 00:00:00,nan,785.4000244140625,nan,166394.8491723633,66.3948491723633
